"subject","Mean.PApleas","Mean.PAunpleas","SD_eval","Diff_eval","d_eval","rel_evalD1","rel_evalD2","Mean.PA.self","Mean.PA.other","SD_id","Diff_id","d_id","rel_idD1","rel_idD2"
280206977,960.945,1264.445,282.903790948041,303.5,1.07280287401925,1.18327004631625,0.96823403206998,891.81,1013.24333333333,162.758898727062,121.433333333333,0.746093358231495,0.810890551224547,0.709728544631253
281411792,990.9,1035.58,256.296119571801,44.6799999999999,0.174329599974622,0.401376919862782,-0.0463585752223065,1119.48666666667,997.69,329.660674838559,-121.796666666667,-0.369460709034563,-0.326441604666174,-0.389374802360239
282262407,1360.77166666667,1595.92833333333,574.524178280229,235.156666666667,0.409306823901791,0.493693892840588,0.307545497252954,1780.13666666667,1038.72333333333,719.506242064479,-741.413333333333,-1.03044739571125,-1.2831445437719,-0.72264319718577
283486528,1239.33666666667,1837.12,598.795457730668,597.783333333334,0.998309732673708,0.914329108886784,1.09766301506799,1311.31666666667,1292.11333333333,477.230128348328,-19.2033333333334,-0.0402391470961719,-0.00190870566122756,-0.109636095556896
285551609,1052.16833333333,1544.63166666667,437.28597300265,492.463333333333,1.12618140927733,0.934253451873516,1.30317354929732,971.066666666667,957.066666666667,213.109616065028,-14,-0.0656938915216666,-0.156899113729194,0.0272539190873071
288386792,1005.50666666667,1346.20666666667,511.963033187104,340.7,0.665477735529171,0.555368446303933,0.736153803995009,886.85,848.346666666667,226.613969317066,-38.5033333333334,-0.169907148484133,-0.263846443228663,-0.0653840666662053
299462347,844.888333333333,1186.105,321.038659399661,341.216666666667,1.06285226615616,1.03333627757123,1.0902699840897,834.473333333333,807.83,247.870028962162,-26.6433333333333,-0.107489128253584,-0.316289558199277,0.138058732921477
301739772,963.326666666667,1249.13333333333,258.412664764954,285.806666666667,1.10600874352126,1.18518154091618,0.991086888277395,917.363333333333,959.393333333333,223.894894002128,42.03,0.187722012095553,0.196552040787815,0.174557558339217
302297964,1119.54,1649.81666666667,632.786466723007,530.276666666667,0.838002540434841,1.14994782639194,0.700548303150492,1459.075,1082.44833333333,641.30295534561,-376.626666666667,-0.587283535070715,-0.477537202408439,-0.691840593747406
305224150,1394.68666666667,1344.07,376.897927733719,-50.6166666666668,-0.13429807632805,-0.245178059692615,-0.069986976638405,1563.12833333333,1029.995,504.451729529963,-533.133333333333,-1.05685698377939,-1.16368861703646,-0.9415907785307
306269643,1856.08333333333,1612.76333333333,493.763796272878,-243.32,-0.49278623065659,-0.736308615389116,-0.13380791930741,1906.04333333333,1929.84,739.472122369671,23.7966666666669,0.0321806136388339,0.155752927447515,-0.0419290734549587
307260611,1027.835,1245.32833333333,269.086706210812,217.493333333333,0.808264876388734,0.966213007718926,0.627389819739872,896.42,865.18,200.75597964032,-31.2399999999999,-0.155611803224842,-0.26945796447269,-0.0668287178707436
310586491,869.208333333333,1555.46166666667,503.336813015037,686.253333333333,1.36340779293016,1.04912812690294,1.62237142090836,1107.65833333333,882.878333333333,321.210595067712,-224.78,-0.69979011729864,-0.660806840525245,-0.727324446653917
313008027,1378.30333333333,1886.27666666667,524.627110696074,507.973333333333,0.968255972626644,1.04389829393262,0.902354204656194,1290.92833333333,1423.585,555.042312677823,132.656666666667,0.239002799672443,0.166430112322053,0.345275008818248
314275357,995.63,1662.76333333333,471.714197749594,667.133333333333,1.41427444099844,1.33511657188468,1.5176744759771,938,903.583333333333,196.533354914217,-34.4166666666666,-0.175118705329631,-0.334888527663909,-0.0302946224494565
315758154,1002.03,1411.58,510.564411009929,409.55,0.802151484060324,0.923140452903805,0.667695620683529,862.88,1067.3,358.581183897564,204.42,0.57008010787983,0.54935757605565,0.592209939976505
317346223,1835.08666666667,2360.86333333333,689.698735626193,525.776666666667,0.762328012953803,0.755199576082621,0.788836039877975,1372.71666666667,1539.39666666667,628.855783754833,166.68,0.265052821816746,0.470771451033168,0.110505918265192
321726176,843.146666666667,1220.18666666667,348.764426847369,377.04,1.08107355847105,1.1077675594668,1.04694274464343,1029.335,912.205,314.182169658134,-117.13,-0.372809189418517,-0.690982490247666,0.00507271238437306
338537297,1123.36166666667,1657.74166666667,553.86101311244,534.38,0.96482689221441,1.00811819854331,0.933974570751304,1047.21333333333,1026.93666666667,338.67617419356,-20.2766666666666,-0.059870366478978,-0.0179328286710934,-0.108241281230319
343031679,888.836666666667,1411.88333333333,394.094814850991,523.046666666667,1.32721022189656,1.29477181955722,1.34537204548759,953.45,1049.36333333333,269.376280432008,95.9133333333334,0.356057085573807,0.560448752974873,0.201399621906179
346395907,1526.93,2842.86666666667,1188.15133037115,1315.93666666667,1.10754971444218,1.07802023581922,1.13276201655473,1023.10666666667,1298.81333333333,413.530519008284,275.706666666667,0.666714193979825,0.602000022164466,0.793372244382135
347396670,1060.92333333333,1481.8,574.984522288338,420.876666666667,0.731979123527796,1.00048100660565,0.474964492652849,1540.10166666667,933.948333333333,807.001792532867,-606.153333333334,-0.751117703754848,-1.08302718700782,-0.615012040022072
349789569,1242.79,1902.71666666667,650.001773615335,659.926666666667,1.01526902456916,1.12728283024575,0.917046930930489,1058.6,1334.84333333333,506.427768694374,276.243333333333,0.54547430139054,0.434135777155133,0.641016693151111
356850231,1088.505,1334.61166666667,319.495037923444,246.106666666667,0.770298869948764,0.636658026283134,0.89497904304231,1112.625,982.065,308.497964759096,-130.56,-0.423211868194831,-0.320538970176573,-0.535053673245165
357408571,1709.875,1390.125,682.552491655804,-319.75,-0.468462138676424,-0.471782933267561,-0.455518281204706,1874.40166666667,1307.045,635.695374794417,-567.356666666667,-0.892497710637189,-0.844308951400483,-0.946135022873692
362558436,997.916666666667,1435.07,375.125818161028,437.153333333334,1.16535122929257,0.910078297107931,1.31492075806212,1478.24333333333,923.696666666667,462.018151376849,-554.546666666667,-1.20027030326422,-1.1551842094915,-1.29530759357363
362956479,1504.98833333333,1680.02166666667,535.005907428314,175.033333333333,0.327161496542515,0.581272854986358,0.104220468307796,1492.13833333333,1301.03166666667,505.176944231616,-191.106666666667,-0.378296493632233,-0.550102208957836,-0.216369561932614
367351790,1687.35666666667,2405.34,936.38546899865,717.983333333333,0.766760439054153,0.821863560984712,0.714796327744319,1158.95666666667,1443.95,462.429957618536,284.993333333333,0.616295135377945,0.74034626533175,0.446328759790349
369799994,964.906666666667,1337.51,379.154946616047,372.603333333333,0.98272048580353,0.97572029401217,0.98830074088239,986.881666666667,989.418333333333,388.224451452871,2.53666666666663,0.00653402086646924,0.388651946425548,-0.324749722848531
372226370,1314.72333333333,1880.58333333333,623.710306722187,565.86,0.907248114872094,0.671779560421716,1.12839676421685,1566.33666666667,1376.11,696.454272779505,-190.226666666667,-0.273135902960986,-0.55633896625641,-0.0942207194083383
